,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Active Cases/1M pop,Date,Country Code
121,Cambodia,136257.0,3.0,3056.0,,133144.0,28.0,57.0,,7949.0,178.0,2953579.0,172298.0,17142279.0,Asia,126.0,5609.0,6.0,3.0,2022-05-03,KHM
122,Jamaica,130299.0,89.0,2967.0,2.0,83689.0,74.0,43643.0,,43654.0,994.0,1004132.0,336413.0,2984815.0,North America,23.0,1006.0,3.0,14622.0,2022-05-03,JAM
123,Rwanda,129812.0,3.0,1459.0,,45522.0,,82831.0,,9588.0,108.0,5279288.0,389920.0,13539397.0,Africa,104.0,9280.0,3.0,6118.0,2022-05-03,RWA
124,Cameroon,119780.0,,1927.0,,117791.0,,62.0,13.0,4316.0,69.0,1751774.0,63117.0,27754322.0,Africa,232.0,14403.0,16.0,2.0,2022-05-03,CMR
125,Angola,99194.0,,1900.0,,97149.0,,145.0,,2856.0,55.0,1499795.0,43177.0,34735599.0,Africa,350.0,18282.0,23.0,4.0,2022-05-03,AGO
126,Malta,91975.0,175.0,700.0,2.0,87528.0,196.0,3747.0,4.0,207293.0,1578.0,1886047.0,4250774.0,443695.0,Europe,5.0,634.0,0.0,8445.0,2022-05-03,MLT
127,DRC,87023.0,,1337.0,,50930.0,,34756.0,,920.0,14.0,846704.0,8956.0,94540061.0,Africa,1086.0,70711.0,112.0,368.0,2022-05-03,COD
128,Senegal,86005.0,2.0,1966.0,,84019.0,2.0,20.0,,4900.0,112.0,1070306.0,60983.0,17550832.0,Africa,204.0,8927.0,16.0,1.0,2022-05-03,SEN
129,Malawi,85790.0,,2634.0,,82066.0,3.0,1090.0,67.0,4282.0,131.0,574794.0,28691.0,20033950.0,Africa,234.0,7606.0,35.0,54.0,2022-05-03,MWI
130,Ivory Coast,81957.0,2.0,799.0,,81112.0,11.0,46.0,,2972.0,29.0,1501863.0,54469.0,27572866.0,Africa,336.0,34509.0,18.0,2.0,2022-05-03,CIV
131,French Guiana,80859.0,,395.0,,11254.0,,69210.0,2.0,258468.0,1263.0,627211.0,2004894.0,312840.0,South America,4.0,792.0,0.0,221231.0,2022-05-03,GUF
